Task,Answer,a,b,c,d,comment,topic,level,tags,deck
"_ Moon is beautiful today, isn't it?",3,a,an,the,—,"We use the definite article ‘the’ in front of a noun when we are sure the interlocutor (hearer/reader) knows exactly what we are referring to because there is only one and it is unique: The moon goes around the earth.; The earth moves around the sun.The Moon is the natural satellite of the Earth, visible (chiefly at night) by reflected light from the sun. There is only one natural satellite of the earth that is why we use the definite article ‘the’ in front of the word ‘Moon’.",articles,1, 142 ,1200 Grammer Tests
You _______ (always / to talk) too loud!,2,always talk,are always talking,have always talked,are always talked,"Besides some usual uses of the Present Continuous (to talk about (1) events which are in progress at the moment of speaking or (2) temporary states which are true around the moment of speaking, (3) about future arrangements) we often use the present continuous with the adverbs of indefinite frequency always, constantly, continually and forever to describe events which are regular but often not wanted:Elena’s always calling me early in the morning.; It’s always raining in London.; Carolina is great! She is always laughing. But sometimes we use the present continuous to criticise someone’s annoying habits and when we want to show that something happens too often and we don't like it: She’s forever being late!; He is constantly slurping his coffee!; Why is it always raining in Bogor?",present tenses,1, 143 ,1200 Grammer Tests
Ernest Hemingway ___________ (to win) the Nobel Prize in literature in 1954,3,was winning,had won,won,had been winning,"We use the Past Simple Tense when we talk about actions that happened once in the past: an action started and finished at a specific time in the past. In the test sentence the definite year is given: in 1954. Sometimes,the speaker does not actually mention the specific time, but they do have one specific time in mind.For regular verbs, we add -ed to the base form of the verb (cook –cooked) or -d if the verb already ends in e (love – loved). Many verbs are irregular. In the test sentence we are given the infinitive-form ‘to win’,the past form of the verb ‘win’ is irregular: ‘won’. Thus, we choose ANSWER 3.",past tenses,1, 144 ,1200 Grammer Tests
I _____________ (to be) very glad to see you tomorrow.,4,is,am going to be,am,will be,"We can use the Future Simple (will and shall) to express invitations, immediate intentions and decisions:(invitation) Will you come for dinner on Saturday? We use ‘will’ when decisions or intentions are immediate and ‘be going to’ when we have already made a plan. In the test sentence we see either the speaker’s immediate decision or a polite invitation to come. We also use ‘will’ to talk about the future to mean ‘want’ to or ‘be willing to’: I hope you will come to my party. The test sentence can be an implied form of the idea ‘I hope we will see tomorrow’. Thus, we choose ANSWER 4.",future tenses,1, 145 ,1200 Grammer Tests
The Beatles _____________ (to know) all over the world.,2,are being knowing,are known,known,have been known,"We use the passive when the main topic of the sentence isn’t who did the action. In the test sentence the main topic is ‘The Beatles’. In English we tend to put the most important thing at the start of the sentence.We make the passive using ‘be’ (in a suitable tense) + the past participle: be + done. The passive can be used with all tenses - the form of ‘be’ changes. We use passive forms of tenses in the same way as we use their active equivalents. The test sentence ‘The Beatles _____________ (to know) all over the world.’ can be transformed to its active voice equivalent ‘All over the world, people know the Beatles.’ (the present simple),therefore, we choose ANSWER 2 – ‘are known’.",passive voice,1, 146 ,1200 Grammer Tests
"Mark ________speak German, Italian and French.",2,should,can,may,must,"We often use ‘can’ to talk about someone’s skill or general abilities. This is something that once you have learnt you can do any time you want, like being able to read or swim or drive a car, for example: I can singsongs in English.; I can ride a horse.; She can speak several languages. If we paraphrase the test sentence,it will sound like: ‘Mark is able to communicate in 3 languages.’ Therefore, we are to choose ANSWER 2.",modal verbs,1, 147 ,1200 Grammer Tests
"Sandra, look, what a nice skirt! You should _________(to sample clothing to see if it fits)",4,hold it on,carry it on,come it on,try it on,"Phrasal verbs form one of three types of multi-word verbs which consist of a verb and one or two particles or prepositions (e.g. up, over, in, down). Phrasal verbs are two part verbs: a main verb + an adverb particle.Phrasal verbs often have meanings which we cannot easily guess from their individual parts. You may try to guess the meaning of the phrasal verb from the context, or look it up in a dictionary and learn it. In the test sentence we are given the definition of one of four phrasal verbs ‘to sample clothing to see if it fits’. The phrasal verb ‘try sth on’ means ‘to put on a piece of clothing to discover if it fits you or if you like it’: Jane was so charming that all the dresses she tried on fitted her. Thus, we are to choose ANSWER 4.",phrasal verbs,1, 148 ,1200 Grammer Tests
Choose two forms of the verb 'to drink' according to the order: Past Simple - Past Participle,2,drank - drank,drank - drunk,drunk - drunk,drunk - drank,TO DRINK — DRANK — DRUNK,irragular verbs,1, 149 ,1200 Grammer Tests
The classroom is empty. I can see ______ here.,4,somebody,anybody,everybody,nobody,"Somebody, anyone, everybody, everything, etc. are indefinite pronouns. All the given in the test ANSWERS refer to people, because they have the ending –body. In the first sentence of the test we are informed that ‘The classroom is empty.’. And we understand that there is nobody in the classroom. But the next test sentence, where we should fill the gap, has no negative particle ‘not’: ‘I can see ______ here.’ Therefore,we choose ANSWER 4 – to use ‘nobody’ to refer to an absence of people. We do not use another negative in a clause with ‘nobody’: Nobody came.; Nothing happened.If the second sentence had the negative particle ‘not’: I cannot see ______ here.’, we would choose ANSWER 2 (anybody). We should know that ‘nobody’ is stronger and more definite than ‘not … anybody’: ‘I can see nobody.’ is stronger than ‘I cannot see anybody.).",pronouns,1, 150 ,1200 Grammer Tests
I think his behavior is ________ .,4,antinormal,innormal,unnormal,abnormal,"Prefixes are letters which we add to the beginning of a word to make a new word with a different meaning.Prefixes can create a new word opposite in meaning to the word the prefix is attached to: possible –impossible, able – unable, like - dislike. The most common negative prefixes in English are in-, un-, non-, de-, dis-, a-, anti-, im-, il-, and ir-.The adjective ‘abnormal’ is formed by adding the negative prefix ab- to the adjective ‘normal’ and means ‘different from what is normal or usual, in a way which is strange or dangerous’ (an abnormal amount of snow; abnormal behavior). The origin of this adjective is French: the alteration of French anormal that comes from Medieval Latin anormalis that comes in its turn from Latin a- + Late Latin normalis (normal).By this formation we have an antonym pair: normal – abnormal. Don’t be confused with the adjective ‘subnormal’ that means ‘below the normal’ (a subnormal amount of rain; a subnormal person).",adjective,1, 151 ,1200 Grammer Tests
Sarah is __________ beautiful.,3,amaze,amazing,amazingly,amazeful,"We use adverbs to add more information about a verb, an adjective, another adverb, a clause or a whole sentence. In the test sentence we add more information about the adjective ‘beautiful’ that means ‘very attractive’.Adverbs have many different meanings and functions. They are especially important for indicating the time(when), manner (the way something happens or is done), place (where), degree (how) and frequency (how often) of something. In the test sentence we need to choose a degree adverb. Degree adverbs express degrees of qualities, properties, states, conditions and relations. In the test sentence the adverb expresses the degree of state: to what extent Sarah is beautiful.Adverbs of degree usually end in -ly (completely, fairly). Among the test variants, only one ends in -ly:ANSWER 3. As for other variants, (1) amaze is a verb, (2) amazing is an adjective, (4) amazeful is a nonce word (an invented word).",adverbs,1, 152 ,1200 Grammer Tests
"I met Alice, _____ asked me to tell you about the accident.",2,which,who,whom,whose,"Relative clauses give us more information about someone or something (the subject or object of a main clause) and help us combine clauses without repeating information and give focus to something or someone: He is the man who I was talking about. We introduce a relative clause with a relative pronoun (who, whom, whose, which or that).In the test sentence ‘I met Alice, _____ asked me to tell you about the accident.’ We need to choose a relative pronoun that is used at the beginning of a relative clause to show which person we are talking about,because in the relative clause we are told more about Alice (a person). Therefore, among all the given test answers we need to choose the relative pronouns ‘who’ or ‘whom’ that are used for people. But for the test sentence we need to choose a relative pronoun that is the subject of the relative clause (I met Alice, _____asked …). In this case, we are to choose only the relative pronoun ‘who’ (ANSWER 2), because the relative pronoun ‘whom’ is used instead of ‘who’ as the object of a verb or preposition: Have you seen those people whom we met on holiday? Here, ‘we’ is the subject.We use ‘which’ for things and animals: We don’t go to restaurants which serve meat. And ‘whose’ is used to say that something or someone is connected with or belongs to a person: She has a sister whose name I can’t remember.",relative clauses,1, 153 ,1200 Grammer Tests
I think his attitude ____ life is too pessimistic.,3,of,for,to,at,"We should remember that some nouns are used with specific prepositions after them. After the noun ‘attitude’ that means ‘a settled way of thinking or feeling about something’ we can use two prepositions: ‘to’and ‘towards’ (Poly has a very bad attitude to/towards work.). Therefore, we choose ANSWER 3: ‘to’.",noun pluse preposition,1, 154 ,1200 Grammer Tests
Many animals are ____ danger.,4,by,at,on,in,"In the test sentence ‘Many animals are ____ danger.’ the prepositional phrase to refresh is ‘in danger’.Prepositional phrases consist of a preposition and the words which follow it (a complement). The complement is most commonly a noun phrase or pronoun, an adverb phrase, a verb in the -ing form or, a prepositional phrase or a wh-clause. In the test sentence the compliment is the noun ‘danger’ that means ‘the possibility of suffering harm or injury’ (her life was in danger). To specify, ‘in danger’, here, is the subject complement - a word, phrase, or clause that follows a copular, or linking, verb and describes the subject of a clause (here, ‘many animals’). And the prepositional phrase ‘in danger’ functions here as a nominal (The park is next to the hospital.) as it is used in conjunction with the verb form ‘to be’.Prepositional phrases provide important details about the words they modify, such as by answering the following questions: Which one? What kind? How? How much? Where? Why? When? To what extent?In some dictionaries the phrase ‘in danger’ is considered to be an idiom.",prepositions,1, 155 ,1200 Grammer Tests
I'm very disappointed _____ the defeat of my favourite football team.,3,to,on,with,of,"According to contemporary English dictionaries, it is possible to use several prepositions after the adjective ‘disappointed’: (1) at sth (They were bitterly disappointed at the result of the match with Wales.); (2) by sth(She was disappointed by the quality of plum wine.); (3) in sb/sth (I’m so disappointed in him!); (4) with somebody/something (They won’t be disappointed with her performance.); (5) about sth (He was very disappointed about the wife not coming.).",adjective pluse preposition,1, 156 ,1200 Grammer Tests
There are three ______ (a brush) on the bathroom shelf.,4,brushies,brush,brushs,brushes,"The noun ‘brush’ is countable. Countable nouns can be singular or plural. The rules for making the plural of nouns depend on the spelling and pronunciation. Most nouns form their plural by adding -s: part – parts,cake – cakes. In other cases, the plural depends on how the noun ends. If the noun ends in -ch, -s, -sh, -x, -z,we add -es. The plural ending -es is pronounced /iz/. The noun ‘brush’ ends in -sh, therefore, we need to add-es. Consequently, we are to choose ANSWER 4 (brushes).",nouns,1, 157 ,1200 Grammer Tests
We don't have _______ bread.,2,many,much,some,a few,"We use the quantifiers ‘much’, ‘many’, ‘(a) few’ to talk about quantities, amounts and degree. We can use them with a noun (as a determiner) or without a noun (as a pronoun). We use ‘much’ that means ‘a large amount or to a large degree’ with singular uncountable nouns (I don’t earn much money.; I like him very much.). We use ‘many’ that means ‘a large number of’ with plural nouns (I don’t have many dresses.).We usually use ‘much’ and ‘many’ with questions (?) and negatives (−). We use ‘a few’ that means ‘some’with plural countable nouns: a few days, a few questions, a few friends.‘Some’ is a determiner and a pronoun (without a noun following, when this noun is understood). We use ‘some’ as a determiner before both countable and uncountable nouns to refer to indefinite quantities:some snow, some people. ‘Some’ is used in positive sentences (I drink some coffee every morning.) But we can use ‘some’ in questions when we are offering something (Would you like some mango ice-cream?) or when we are making a request (Can I buy some ice-cream?).The test sentence ‘We don't have _______ bread.’ is negative, therefore, we cannot choose ‘some’(ANSWER 3) here. The determiner that we need to choose for this test sentence is used before the uncountable noun ‘bread’, that is why we cannot choose the determiners ‘many’ and ‘a few’ because they are used only with countable nouns. Consequently, we are to choose the determiner ‘much’ - ANSWER 2.","some,any, a lot of , many , much ,etc..",1, 158 ,1200 Grammer Tests
"If the weather ______ (to be) fine next Sunday, we _______ (to go) to the park.",1,is/will go,will be/go,is/go,will be/will go,"Conditionals are sentences with two clauses – an ‘if clause’ and a ‘main clause’ – that are closely related. There are different types of conditions. Some are possible or likely, others are unlikely or even impossible.In the test sentence ‘If the weather ______ (to be) fine next Sunday, we _______ (to go) to the park.’ we are given the time-marker ‘next Sunday’, therefore, this sentence expresses an imagined future situation and shows that we believe the imagined situation is quite likely (It is possible or likely that the weather will be fine next Sunday.). When we talk about real and possible situations, we use the first conditional. In first conditional sentences, the structure is usually if + present simple (an imagined future situation) and will (or shall, should, would, can, could, may, might) + infinitive (a future result): If it’s a nice day tomorrow,we’ll go to the beach. Therefore, in the test we are to choose ANSWER 1.",conditionals,1, 159 ,1200 Grammer Tests
Alex: ''I don't like onion'',3,Alex said that she hadn't liked onion.,Alex said that she would like onion.,Alex said that she didn't like onion.,Alex said that she wasn't liking onion.,"When we report someone’s words we can do it in two ways: (1) we can use direct speech with quotation marks (“I work in an office.”), or (2) we can use reported speech (She said she worked in an office.) Speech reports consist of two parts: the reporting clause (She said that …) in which we usually use are porting verb (e.g. say, tell, ask, etc.) and the reported clause (…she worked in an office.).Some verbs (accept, agree, complain, feel, say, etc.) connected with reporting can be followed bya that-clause acting as the direct object: She said that she worked in an office.Usually we change the tense of what was actually said in direct speech. The present simple tense (‘I dance’) usually changes to the past simple (she/he danced) in reported speech. Therefore, in the test sentence we should change ‘don’t like’ into ‘didn't like’. But it is not always necessary to change the tense.If something is still true now – she still works in an office – we can use the present simple in the reported sentence. But in the test the variant ‘Alex said that she doesn't like onion.’ is not given. Thus, we are to choose only ANSWER 3.",reported speech,1, 160 ,1200 Grammer Tests
Choose the sentence with the right word order,4,A federation is Australia of six states.,A federation of six states Australia is.,Australia of six states is a federation.,Australia is a federation of six states.,"English has a rigid word order that cannot be changed without changing the meaning of the sentence.In the test we are given a simple extended declarative sentence. The standard word order in simple extended declarative sentences is SUBJECT + PREDICATE + object + adverbial modifier.We are to find the subject, predicate and object in the test sentence. The subject is placed at the beginning of the sentence and is usually expressed by a noun or a pronoun. The predicate stands after the subject and is usually represented by a main verb or by the combination of an auxiliary or modal verb with a main verb. The noun ‘federation’ means ‘a group of organizations, countries, regions, etc that have joined together to form a larger organization or government’. So, we cannot say that ‘a federation is Australia…’(ANSWER 1), because a federation is not only Australia. And neither ‘A federation of six states Australia’(ANSWER 2) nor ‘Australia of six states’ (ANSWER 3) can be the subject of the test sentence, because they are nonce word combinations. The predicate of the test sentence is represented by the main verb ‘is’.Therefore, only ANSWER 4 is correct: ‘Australia’ (the subject) ‘is’ (the predicate) and ‘a federation of six states’ (the subject complement – a phrase that completes the sense of the subject ‘Australia’ that follows the linking verb ‘is’). The subject complement is normally an adjective or a noun that renames or defines in some way the subject.",word order,1, 161 ,1200 Grammer Tests
"I bought some cheese, ten apples and _ bottle of wine",1,a,an,the,—,"A/an and the are articles. They are a type of determiner and they go before a noun.The indefinite article ‘a/an’ before a noun shows that what is referred to is not already known to the speaker, listener, writer and/or reader, we refer to something for the first time: ‘Would you like a drink?’, we also use it to show the person or thing is one of a group: ‘Let’s buy a red dress.’. We use ‘a’ when the next word starts with a consonant (a boy, a dog), or before words starting in u and eu when they sound like you (a university, a unit, a European style, a euro). We use ‘an’ when the next word starts with a vowel (a, e, i, o,u) or with a mute h (an actor, an invitation, an eagle, an old school,an umbrella, an hour). We do not use an indefinite article with plural nouns (bears) and uncountable nouns (advice): I saw some bears in the Zoo.;She gave me good advice.The definite article ‘the’ before a noun shows that what is referred to is already known to the speaker,listener, writer and/or reader, refer to something which has already been mentioned: We went to the restaurant yesterday.; The sun rose at 5.34 in the morning.; I’ve read a book on the life of Angelina Jolie.In the test sentence ‘I bought some cheese, ten apples and _ bottle of wine.’ We should choose the article that stands before the countable noun ‘bottle’ (thus, we do not need ANSWER 4 ‘-’) that starts with the consonant ‘b’ (and it is not ANSWER 2 ‘an’). We also understand that the speaker mentions this bottle of wine for the first time, thus, we are to choose ANSWER 1 ‘a’.",articles,1, 162 ,1200 Grammer Tests
Look! Your puppy _______ (to swim)!,3,swims,is swiming,is swimming,swim,"If we use the imperative form of the verb ‘look’ - ‘Look!’, we want someone to look at something surprising or interesting or call someone’s attention to what we are going to say: Look! That’s Rob!In the test sentence ‘Your puppy _______ (to swim)!’ the speaker draws someone’s attention to the puppy. As it is direct speech, we understand that something is in progress at the moment of speaking. Thus,we need the present continuous tense in the test sentence. For the present continuous we use am, are, is + the-ing form of the verb. When the verb ends in a vowel followed by a single consonant and if the last syllable is stressed, then the consonant is doubled. The verb ‘swim’ ends in a vowel followed by a single consonant -im and the last syllable is stressed, thus, swim → swimming. Therefore, we are to choose ANSWER 3.",present tenses,1, 163 ,1200 Grammer Tests
I ______________(to drive) home at 7 p.m. yesterday.,1,was driving,drove,drive,driven,"""We use the past continuous to talk about events and temporary states that were in progress around a certain time in the past. It can emphasise that the action or state continued for a period of time in the past. In other words, the present continuous expresses an unfinished or incomplete action in the past.In the test sentence the event (driving - action) was in progress at 7 p.m. and continued for a period of time. The past continuous of any verb is composed of two parts: the past tense of the verb """"to be""""(was/were), and the base of the main verb +ing. Then, we are to choose ANSWER 1.""",past tenses,1, 164 ,1200 Grammer Tests
Kate doesn't know whether she ______________ (to go) to Amsterdam next summer.,2,is going to go,will go,goes,shall go,"We should differentiate between object clauses, conditional clauses and time clauses.In time clauses with words like when, after, until and in conditional clauses with if or unless we often use the present tense forms to talk about the future: She’ll come home when she finishes work.; We won’t be able to go out if it is raining.In object clauses introduced by the conjunctions if, whether and when the Future Simple is used to denote future actions: I doubt (about what?) whether Julia will recognise me.; I don’t know (what?) when she will come back.; My mom is not sure (of what?) if we will go to Sochi in August.; I don’t know (what?)what I will do tomorrow.; I don’t know (what?) where I will be in July.The conjunction ‘whether’ is used to introduce (1) an indirect question or (2) a clause after a verb expressing or implying doubt or choice in order to indicate two or more alternatives, the second or last of which is introduced by or or or whether: He doesn't know (what?) whether he will go to Britain (or not).; I doubt (about what?) whether he will come back home at 22.00 (or not).Therefore, in the test sentence we are to choose ANSWER 2 ‘will go’: Kate doesn't know (what?)whether she will go to Amsterdam next summer.Notice the spelling of the conjunction whether, and don’t confuse it with the noun weather, which sounds the same.",future tenses,1, 165 ,1200 Grammer Tests
"""The poem """"My Heart's in the Highlands"""" _______________ (to write) by Robert Burns.""",3,was wrote,wrote,was written,will be written,"The passive voice is used when we want to focus attention on the person or thing affected by the action. The passive is usually formed by the verb to be + past participle. We can leave out the ‘doer’ or agent, or we can place the ‘doer’ in a prepositional phrase (by + ‘doer’). We use passive forms of tenses in the same way as we use their active equivalents.In the test sentence the main focus is on the name of Robert Burn’s poem “My Heart's in theHighlands” that is the subject of the test sentence. The ‘doer’ is placed in the prepositional phrase ‘byRobert Burns’. We use this structure ‘passive + by + doer’ when the agent is important.In the test sentence the agent is important because Robert Burns is a famous Scottish poet and his poem “My Heart's in the Highlands” is known all over the world. Robert Burns conquered the hearts ofScottish countrymen with his poems and became their voice. This poem is symbolic – it reflects any person’s heart when they are thinking about their homeland.As this poem was written in 1790, we are to choose ANSWER 3 ‘was written’ – Past Simple passive.‘Written’ is the past participle of the irregular verb ‘write’.",passive voice,1, 166 ,1200 Grammer Tests
______________ you tell me where Trafalgar Square is?,4,Might,Must,Should,Could,"When we make requests, we can use ‘can’ or ‘could’ (but not ‘may’ or ‘might’).‘Could’ is more polite than ‘can’:(more informal) Can I go home?; Can you do me a favour?;(more polite) Could I borrow you laptop today, please?; Could you give me a lift, please?; Could I have something to drink?Therefore, we are to choose ANSWER 4 ‘could’.",modal verbs,1, 167 ,1200 Grammer Tests
"Mike, _________________ (to move quickly)! It's almost 10 o'clock!",2,grow up,hurry up,turn up,give up,"""""""Hurry up"""" means to move quickly""",phrasal verbs,1, 168 ,1200 Grammer Tests
Choose  two forms of the verb 'to drive' according to the order: Past Simple - Past Participle,1,drove - driven,drove - drove,driven - driven,driven - drove,TO DRIVE — DROVE — DRIVEN,irragular verbs,1, 169 ,1200 Grammer Tests
Sarah spoke to Brad Pitt _____ .,3,themselves,itself,himself,yourself,"When the subject or the object in a sentence refer to the same person or thing we use a reflexive pronoun. Reflexive pronouns (myself, himself, ourselves etc) end in -self (singular form) or –selves (plural form). They refer back to the subject forms of personal pronouns.Reflexive pronouns can be used with nouns to mean ‘me (or you/him/her etc) and nobody else’ to emphasize a particular person/persons or animal/animals (male or female): Did you talk to the hostess herself or just to one of her assistants?; Do you want to meet George himself, or could his sister help you?;It is the party leaders themselves who make the decisions. In the sentence ‘I spoke to Angelina Jolie herself!’, the speaker emphasizes that he or she spoke to Angelina Jolie personally NOT somebody else.In the test sentence ‘Sarah spoke to Brad Pitt _____ .’ the particular man is emphasized – Brad Pitt.Sarah spoke to Brad Pitt personally NOT somebody else. Thus, we need the reflexive pronoun ‘himself’ –ANSWER 3.",pronouns,1, 170 ,1200 Grammer Tests
Kate has a beautiful _______ (made of gold) ring.,4,goldish,goldy,golden,gold,"""""""Gold"""" means made of gold.""",adjective,1, 171 ,1200 Grammer Tests
Michael passed the exam _______ .,2,easy,easily,ease,easier,"We use adverbs to add more information about a verb, an adjective, another adverb, a clause or a whole sentence. In the test sentence ‘Michael passed the exam _______ .’ we add more information about the verb ‘pass’ that here means ‘to succeed at an exam’.Adverbs have many different meanings and functions. They are especially important for indicating the time (when), manner (the way something happens or is done, how something happens), place (where),degree (how) and frequency (how often) of something. ‘Michael passed the exam (how?).’ So, in the test sentence we need to choose a manner adverb. They are usually placed either after the main verb or after the object.Adverbs of manner are often formed from adjectives by adding -ly: bad – badly, brave - bravely,sudden – suddenly. But sometimes there can be changes in spelling: hungry - hungrily; gentle – gently,happy – happily. Adverbs formed from adjectives ending in -y change the y to i: easy → easily, busy →busily, lucky → luckily, angry → angrily.In the test sentence we need to transform the adjective ‘easy’ that ends in -y into the adverb of manner,therefore, we change -y into -i and plus -ly → easily. Thus, we are to choose ANSWER 2.",adverbs,1, 172 ,1200 Grammer Tests
"We visited a city, _____ I have never been to.",4,whose,whom,who,which,"Relative pronouns who, whom, whose, which or that introduce a relative clause. Relative clauses give us more information about someone or something (the subject or object of a main clause), help us combine clauses without repeating information and give focus to something or someone: She bought a dress,which is rather pretty. By combining sentences with a relative clause, we make our speech more fluent.We use ‘who’ and ‘whom’ (more formal) for people: I told you about my aunt who lives next door.; I was invited to Isabel whom I had met at the conference. ‘Whose’ is used to say that something or someone is connected with or belongs to a person: She has a sister whose name I can’t remember. And we use ‘which’ for things and animals: We don’t go to restaurants which serve meat.; Do you see that cat which is lying on the bench?.In the test sentence ‘We visited a city, _____ I have never been to.’ we need to choose a relative pronoun that is used for things, because in the relative clause we are told more about the object of the main clause - a city (a thing). Thus, among all the given test answers we need to choose the relative pronoun ‘which’ – ANSWER 4. By using the relative pronoun ‘which’, we avoid repeating the noun ‘city’in the relative clause.",relative clauses,1, 173 ,1200 Grammer Tests
The humanity hasn't found cure ____ this disease yet.,3,from,to,for,of,"We should remember that some nouns are used with specific prepositions after them. After the noun ‘cure’ that means ‘something that makes someone with an illness healthy again’ we use the preposition ‘for’ (They are trying to find a cure for cancer. There is no cure for diabetes.). Therefore, we choose ANSWER 3: ‘for’.",noun pluse preposition,1, 174 ,1200 Grammer Tests
I don't like most of popular shows _____ television.,2,at,on,in,by,"Prepositions are short words (on, in, to) that usually stand in front of nouns, pronouns, proper names and gerund. There are over 100 prepositions in English. But there are hardly any rules as to when to use which preposition. We can learn prepositions by several ways: (1) look them up in a dictionary, (2) read a lot in English and (3) learn useful phrases with prepositions by heart.In the test sentence ‘I don't like most of popular shows _____ television.’ we need the preposition of place: where? → on television (‘being broadcast by television’). In this case we talk about television in the sense of television programmes that are broadcast.The word ‘TV’ is more common than saying the complete word ‘television’: on TV.",prepositions,1, 175 ,1200 Grammer Tests
Why is Rachel so angry _____ it?,4,of,to,with,about,"For the test sentence ‘Why is Rachel so angry _____ it?’ we need to put a preposition after the adjective ‘angry’ that means ‘very annoyed’. We can use four prepositions after the adjective ‘angry’:about, at, over and with.But the combination ‘angry + about/at/over’ is used when we talk about things: He is very angry about this dish.; They feel angry over the situation.And the combination ‘angry+ with/at’ is used when we talk about people: Why are you angry with her?.Therefore, we are to choose ANSWER 4 (about).",adjective pluse preposition,1, 176 ,1200 Grammer Tests
Carla was sitting with two nice _______ (a woman).,3,woman,womans,women,womens,The noun 'woman' has the irregular plural form: WOMAN -WOMEN,nouns,1, 177 ,1200 Grammer Tests
He eats _______ sweets every day.,1,many,a little,much,any,"We use the quantifiers ‘much’, ‘many’, ‘(a) little’, ‘any’ to talk about quantities, amounts and degree.We can use them with a noun (as a determiner) or without a noun (as a pronoun). We use ‘much’ that means ‘a large amount or to a large degree’ and ‘a little’ that means ‘not much, but some’ (‘small amount’)with singular uncountable nouns (I don’t earn much money.; I like him very much.; a little bread, a little money, a little marmalade, a little time. We use ‘many’ that means ‘a large number of’ with plural nouns (I don’t have many dresses.).We use the quantifier ‘any’ in questions and negatives to mean ‘some’: Did you buy any butter?; We haven’t got any eggs.We use ‘any’ to mean ‘it does not matter which or what’ to describe something which is not limited:You can choose any colours you want.; She refused to answer any questions. We use this meaning of ‘any’ with all types of nouns and usually in affirmative sentences.In the test sentence He eats _______ sweets every day. we need to choose a quantifier for the countable noun ‘sweets’. Therefore, from the test variants we can choose ANSWER 1 (many) andANSWER 4 (any). The variant ‘He eats any sweets every day.’ means that he has a wide range of sweets to eat every day: chocolate, boiled, candies, fizzy, mallows etc. Maybe he is a taster.","some,any, a lot of , many , much ,etc..",1, 178 ,1200 Grammer Tests
If you ________ (to call) me I _________ (to help) you.,2,would call/helped,called/would help,would call/would help,called/helped,"Conditionals are sentences with two clauses – an ‘if clause’ and a main clause. The two parts can be in any order. When the ‘would part’ is second, you need a comma.The second conditional is used to talk about unreal, unlikely, impossible or imaginary things, events or situations. The structure is usually if + past simple (the hypothetical or unlikely part) and would/could/might + infinitive (the possible result of the imaginary situation): If I had lots of money, I would travel all around the world.; If I won the lottery, I would buy a car. We are thinking about a particular condition in the future, and the result of this condition. But there is not a real possibility that this condition will happen. Therefore, we use the Second conditional structure for unreal possibility.The test sentence ‘If you called me I would help you.’ (ANSWER 2) describes an unlikely situation. It is meant that ‘You haven’t called me yet that is why I haven’t helped you, but I would like to’. We are still thinking about the future possibility, but it is imaginary – I imagine that it could happen, but it is unlikely. In this case the question between the first and the second conditional is often a question of the speaker’s attitude to the situation.",conditionals,1, 179 ,1200 Grammer Tests
"""Tracy: """"I'm driving to work now"""".""",4,Tracy said that she drove to work now.,Tracy said that she had been driving to work then.,Tracy said that she was driving to work now.,Tracy said that she was driving to work then.,"When we report someone’s words we can do it in two ways: (1) we can use direct speech with quotation marks (“I work in an office.”), or (2) we can use reported speech (She said she worked in an office.) Speech reports consist of two parts: the reporting clause (She said that …) in which we usually use are porting verb (e.g. say, tell, ask, etc.) and the reported clause (…she worked in an office.).Some verbs (accept, agree, complain, feel, say, etc.) connected with reporting can be followed bya that-clause acting as the direct object: She said that she worked in an office.Usually we change the tense of what was actually said in direct speech. The present continuous tense(‘I am dancing’) usually changes to the past continuous (she/he was dancing) in reported speech. Therefore,in the test sentence we should change ‘’m driving’ into ‘was driving’. It is not always necessary to change the tense. If something is still true now – she is still driving to work – we can use the present continuous in the reported sentence. But in the test the variant ‘Tracy said that she is driving to work now.’ is not given.We also need to change time expressions in reported speech if the context of the reported statement(the period of time) is different from that of the direct speech: ‘now’ → ‘then’, ‘last week’ → ‘the week before’ etc.Thus, we are to choose ANSWER 4.",reported speech,1, 180 ,1200 Grammer Tests
Choose the sentence with the right word order,4,Is how far your town from here?,How far your town from here is?,How far your town is from here?,How far is your town from here?,"English has a rigid word order that cannot be changed without changing the meaning of the sentence.The word order in ‘WH questions’ is similar to ‘Yes/No questions’, but in ‘WH-questions’ question words ‘when’, ‘what’, ‘who’, ‘whose’, ‘where’, ‘how’, ‘which’, ‘why’ are put at the beginning of the sentences: WH + DO/DOES + SUBJECT + VERB.In questions with the main verb ‘be’ we usually have to put the main verb ‘be’ before the subject: BE+ SUBJECT. In ‘WH-questions’ with ‘be’ we have the following rigid word order: WH + BE + SUBJECT.‘How’ is used to ask about quantity, size, or age: How big is the house? So, after the question word ‘how’ we can use an adjective or an adverb: how long (length – time or space), how many (quantity – with countable nouns), how much (quantity – with uncountable nouns), how old (age), how often (how frequently something happens).The question word-combination ‘How far’ asks for information about the distance between two places: How far is the university from your house?; How far is it to the supermarket?. It is also used to talk about how true something is: How far do politicians represent the views of ordinary people?. We should remember, when we make a question with a verb other than the be verb, we need to use an auxiliary verb(do/did, have/had, will, are/is, etc): How far do you usually walk?; How far will you drive?In the test sentence we have the form of main verb ‘be’ – ‘is’ (the third person, singular), therefore,according to the rule of ‘WH-questions’ with ‘be’, we need to put it after the question word-combination ‘how far’: ‘How far is…’. And then after them we need the subject – your town. Thus, we are to choose ANSWER 4: How far is your town from here?",word order,1, 181 ,1200 Grammer Tests
