№,Keyword,Suggestion,Short Vietnamese,Keyword_Sound,Image,Transcription,Explanation,Meaning_Sound,Example_Sound,Full Vietnamese,tags,deck
515,react,"r__ __ __ __,&nbsp;<div>r__ __ __ __ __d</div>","<span style=""color: rgb(204, 0, 0)"">phản ứng, đối phó</span>",[sound:4000B1_react.mp3],<img src='4000B1_515.jpg'>,[rɪ'ækt],<div>&nbsp;{{c1::react}} is to act in a certain way because of something that happened.</div>→ &nbsp;James {{c1::reacted}} badly to the news.,[sound:4000B1_react_meaning.mp3],[sound:4000B1_react_example.mp3],"<div style=""MARGIN: 0px 0px 5px""><i>react /ri:'ækt/</i><br /> <ul> <li><b><i>nội động từ</i></b> <ul> <li><font color=""#cc0000""><b>tác động trở lại, ảnh hưởng trở lại, phản ứng lại</b></font> <ul> <li><b>tyranny reacts upon the tyrant himself</b>: sự bạo ngược tác hại trở lại ngay đối với kẻ bạo ngược</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>(vật lý); (hoá học) phản ứng</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>(+ against) chống lại, đối phó lại</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>(quân sự) phản công, đánh trả lại lại</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>(tài chính) sụt, hạ (giá cả)</b></font></li></ul></li></ul></div>",,4000 Essential English Words - Book 1::Unit 26
516,ride,r__ __ __,"<span style=""color: rgb(204, 0, 0)"">cưỡi</span>",[sound:4000B1_ride.mp3],<img src='4000B1_516.jpg'>,[raɪd],"<div>To {{c1::ride}} something is to travel on it. You can {{c1::ride}} an animal, a bike, etc.</div>→ &nbsp;I will {{c1::ride}} a roller-coaster for the first time today.",[sound:4000B1_ride_meaning.mp3],[sound:4000B1_ride_example.mp3],"<div style=""MARGIN: 0px 0px 5px""><i>ride /raid/</i><br /> <ul> <li><b><i>danh từ</i></b> <ul> <li><font color=""#cc0000""><b>sự đi chơi, cuộc đi chơi (bằng ngựa, xe đạp, xe ô tô, xe buýt, xe lửa...)</b></font> <ul> <li><b>to go for ride</b>: đi chơi bằng ngựa...</li> <li><b>a ride on one's bicycle</b>: đi chơi bằng xe đạp</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>đường xe ngựa đi qua rừng</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>(quân sự) lớp kỵ binh mới tuyển</b></font></li></ul> <ul> <li><font color=""#cc0000""><b><i>to give somebody a ride</i></b></font> <ul> <li><font color=""#cc0000""><b><i>to take somebody for a ride</i></b></font> <ul> <li><b>đưa ai đi chơi bằng ngựa (bằng ô tô...)</b></li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>(từ Mỹ,nghĩa Mỹ), (từ lóng) đem ai đi bằng ô tô để giết; khử ai đi</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>(từ lóng) rầy la (mắng mỏ, quở mắng) ai</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>(từ lóng) chế nhạo ai; giễu cợt ai, đem ai ra làm trò cười</b></font> <ul></ul></li></ul></li></ul></li></ul> <ul> <li><b><i>nội động từ rode; ridden</i></b> <ul> <li><font color=""#cc0000""><b>đi ngựa, cưỡi ngựa</b></font> <ul> <li><b>to ride across the highlands</b>: đi ngựa qua vùng cao nguyên</li> <li><b>to ride full speed</b>: phi ngựa nước đại</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>cưỡi lên</b></font> <ul> <li><b>to ride on an elephant</b>: cưỡi voi</li> <li><b>to ride on someone's back</b>: cưỡi lên lưng ai</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>đi xe (xe buýt, xe lửa, xe điện...); đi xe đạp</b></font> <ul> <li><b>to ride to school</b>: đi xe đạp đến trường</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>lướt đi; trôi nổi bập bềnh, lênh đênh</b></font> <ul> <li><b>to ride on the winds</b>: lướt đi theo chiều gió</li> <li><b>the moon was riding high</b>: mặt trăng dường như đang trôi nổi lênh đênh trên trời cao</li> <li><b>to ride on the waves</b>: lướt sóng mà đi, cưỡi sóng mà đi</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>thả neo (tàu thuỷ)</b></font> <ul> <li><b>the ship rides (at anchor)</b>: tàu thả neo</li> <li><b>to ride easy</b>: không bị tròng trành lúc thả neo</li> <li><b>to ride hard</b>: bị tròng trành lúc thả neo</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>gối lên nhau</b></font> <ul> <li><b>bone ride s</b>: xương bị gãy mảnh nọ gối lên mảnh kia</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>mặc cả quần áo đi ngựa mà cân (người đi ngựa)</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>thuộc vào loại (tốt, xấu, êm, xóc...) cho ngựa chạy (khoảng đất)</b></font> <ul> <li><b>the ground rides soft</b>: bâi đất đó ngựa chạy rất êm</li></ul></li></ul></li></ul> <ul></ul> <ul> <li><b><i>ngoại động từ</i></b> <ul> <li><font color=""#cc0000""><b>cưỡi ngựa, đi ngựa (qua một vùng)</b></font> <ul> <li><b>to ride the desert</b>: đi ngựa qua vùng sa mạc</li> <li><b>to ride a race</b>: dự một cuộc đua ngựa</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>cưỡi</b></font> <ul> <li><b>to ride a horse</b>: cưỡi ngựa</li> <li><b>to ride an elephant</b>: cưỡi voi</li> <li><b>to ride a bicycle</b>: đi xe đạp</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>cho cưỡi lên</b></font> <ul> <li><b>to ride a child on one's back</b>: cho đứa bé cưỡi lên lưng</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>đè nặng, giày vò, day dứt; áp chế</b></font> <ul> <li><b>ridden by remorse</b>: bị hối hận giày vò</li> <li><b>ridden by prejudice</b>: lòng nặng thành kiến (định kiến)</li> <li><b>the nightmare rides the sleeper</b>: cơn ác mộng đè nặng lên tâm trí người ngủ</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>lướt trên (sóng gió)</b></font> <ul> <li><b>to ride the waves</b>: lướt trên sóng, cưỡi sóng mà đi</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b><i>to ride away</i></b></font> <ul> <li><b>đi xa bằng ngựa</b></li></ul></li></ul> <ul> <li><font color=""#cc0000""><b><i>to ride back</i></b></font> <ul> <li><b>trở về bằng ngựa</b></li></ul></li></ul> <ul> <li><font color=""#cc0000""><b><i>to ride behind</i></b></font> <ul> <li><b>đi ngựa theo sau</b></li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>cưỡi ngựa ngồi sau lưng người khác</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>ngồi phía sau (trên ô tô)</b></font></li></ul> <ul> <li><font color=""#cc0000""><b><i>to ride down</i></b></font> <ul> <li><b>phi ngựa đuổi kịp và vượt được (ai</b></li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>giẫm đạp lên (dưới chân ngựa), đè chết</b></font></li></ul> <ul> <li><font color=""#cc0000""><b><i>to ride of</i></b></font> <ul> <li><b>đi xa bằng ngựa</b></li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>(thể dục,thể thao) chèn, xô đẩy (chơi pôlô)</b></font></li></ul> <ul> <li><font color=""#cc0000""><b><i>to ride out</i></b></font> <ul> <li><b>vượt qua được</b></li></ul></li></ul> <ul> <li><b>to ride out the storm</b>: vượt qua được bâo tố (tàu thuỷ); (nghĩa bóng) vượt qua được lúc khó khăn gay go</li></ul> <ul> <li><font color=""#cc0000""><b><i>to ride over</i></b></font> <ul> <li><b>thắng dễ dàng (trong một cuộc đua ngựa)</b></li></ul></li></ul> <ul> <li><font color=""#cc0000""><b><i>to ride up</i></b></font> <ul> <li><b>đến bằng ngựa</b></li></ul></li></ul> <ul> <li><font color=""#cc0000""><b><i>to ride and ite</i></b></font> <ul> <li><b>thay nhau đi ngựa từng quâng (hai, ba người cùng đi mà chỉ có một con ngựa)</b></li></ul></li></ul> <ul> <li><font color=""#cc0000""><b><i>to ride for a fall</i></b></font> <ul> <li><b>chạy như điên, chạy bạt mạng; phi ngựa bạt mạng</b></li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>có những hành động liều mạng; chuốc lấy sự thất bại</b></font></li></ul> <ul> <li><font color=""#cc0000""><b><i>to ride hell for leather</i></b></font> <ul> <li><b>chạy hết tốc độ; phi nước đại</b></li></ul></li></ul> <ul> <li><font color=""#cc0000""><b><i>to ride to hounds</i></b></font> <ul> <li><b>(xem) hound</b></li></ul></li></ul> <ul> <li><font color=""#cc0000""><b><i>to ride a joke a death</i></b></font> <ul> <li><b>đùa quá, đùa nhà</b></li></ul></li></ul> <ul> <li><font color=""#cc0000""><b><i>to ride like a tailor</i></b></font> <ul> <li><b>(xem) tailor</b></li></ul></li></ul> <ul> <li><font color=""#cc0000""><b><i>to ride off on a side issue</i></b></font> <ul> <li><b>nói loanh quanh những điểm thứ yếu để lảng tránh vấn đề chính</b></li></ul></li></ul> <ul> <li><font color=""#cc0000""><b><i>to ride sandwich (bodkin)</i></b></font> <ul> <li><b>đi ô tô hàng (xe lửa...) bị ngồi ép chặt vào giữa hai người</b></li></ul></li></ul> <ul> <li><font color=""#cc0000""><b><i>to ride the whirlwind</i></b></font> <ul> <li><b>nắm lấy trong tay và chỉ huy (cuộc bạo động...)</b></li></ul></li></ul> <ul> <li><font color=""#cc0000""><b><i>let it ride!</i></b></font> <ul> <li><b>chuyện vớ vẩn!</b></li></ul></li></ul></li></ul></div>",,4000 Essential English Words - Book 1::Unit 26
517,situated,s__t__ __ __ __d,"<span style=""color: rgb(204, 0, 0)"">ở (một nơi, một tình thế, một hoàn cảnh)</span>",[sound:4000B1_situated.mp3],<img src='4000B1_517.jpg'>,['sɪtjueɪtɪd],"<div>If something is {{c1::situated}} somewhere, it is in that place.</div>→ &nbsp;The white board is {{c1::situated}} between the two men.",[sound:4000B1_situated_meaning.mp3],[sound:4000B1_situated_example.mp3],"<div style=""MARGIN: 0px 0px 5px""><i>situated /'sitjueitid/</i><br /> <ul> <li><b><i>tính từ</i></b> <ul> <li><font color=""#cc0000""><b>ở</b></font> <ul> <li><b>situated on the top of the hill</b>: ở trên đỉnh đồi</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>ở vào một tình thế, ở vào một hoàn cảnh</b></font> <ul> <li><b>awkwardly situated</b>: ở vào một tình thế khó xử</li></ul></li></ul></li></ul></div>",,4000 Essential English Words - Book 1::Unit 26
518,society,s__ __ __ __ __y,"<span style=""color: rgb(204, 0, 0)"">xã hội</span>",[sound:4000B1_society.mp3],<img src='4000B1_518.jpg'>,[sə'saɪətɪ],<div>{{c1::society}} is people and the way that they live.</div>→ &nbsp;{{c1::society}} expects people to be good and honest.,[sound:4000B1_society_meaning.mp3],[sound:4000B1_society_example.mp3],"<div style=""MARGIN: 0px 0px 5px""><i>society /sə'saiəti/</i><br /> <ul> <li><b><i>danh từ</i></b> <ul> <li><font color=""#cc0000""><b>xã hội</b></font> <ul> <li><b>duties towards society</b>: những bổn phận đối với xã hội</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>lối sống xã hội</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>tầng lớp thượng lưu; tầng lớp quan sang chức trọng</b></font> <ul> <li><b>society people</b>: người ở tầng lớp thượng lưu</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>sự giao du, sự giao thiệp</b></font> <ul> <li><b>to have no society with someone</b>: không giao thiệp với người nào</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>sự làm bạn, tình bạn bè</b></font> <ul> <li><b>to enjoy somebody's society</b>: thích bè bạn với ai</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>đoàn thể, hội</b></font></li></ul></li></ul></div>",,4000 Essential English Words - Book 1::Unit 26
519,standard,s__ __ __ __ __ __ __,"<span style=""color: rgb(204, 0, 0)"">tiêu chuẩn</span>",[sound:4000B1_standard.mp3],<img src='4000B1_519.jpg'>,['stændəd],<div>A {{c1::standard}} is what people consider normal or good.</div>→ &nbsp;This older model TV is below our store's {{c1::standard}}s.,[sound:4000B1_standard_meaning.mp3],[sound:4000B1_standard_example.mp3],"<div style=""MARGIN: 0px 0px 5px""><i>standard /'stændəd/</i><br /> <ul> <li><b><i>danh từ</i></b> <ul> <li><font color=""#cc0000""><b>cờ hiệu, cờ (đen &amp; bóng)</b></font> <ul> <li><b>to raise the standard of solidarity</b>: giương ngọn cờ đoàn kết</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>(thực vật học) cánh cờ (của hoa đậu...)</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>tiêu chuẩn, chuẩn, mẫu</b></font> <ul> <li><b>standard meter</b>: mét tiêu chuẩn</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>trình độ, mức</b></font> <ul> <li><b>to come up to the standard</b>: đạt trình độ</li> <li><b>standard of living</b>: mức sống</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>chất lượng trung bình</b></font> <ul> <li><b>work of an indifferent standard</b>: công việc chất lượng xoàng</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>lớp học (ở các trường cấp hai); hạng, thứ (ở trường cấp một)</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>bản vị (vàng, bạc trong hệ thống tiền tệ)</b></font> <ul> <li><b>gold standard</b>: bản vị vàng</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>chân, cột (đèn)</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>cây mọc đứng</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>Xtanđa (đơn vị đo gỗ bằng khoảng 4, 500 m3)</b></font></li></ul></li></ul></div>",,4000 Essential English Words - Book 1::Unit 26
520,suggest,"s__ __g__ __ __,&nbsp;<div>s__ __g__ __ __ __d</div>","gợi ý, đề nghị",[sound:4000B1_suggest.mp3],<img src='4000B1_520.jpg'>,[sə'ʤest],<div>To {{c1::suggest}} something means to give an idea or plan about it.</div>→ &nbsp;He {{c1::suggested}} that we go to see his boss.,[sound:4000B1_suggest_meaning.mp3],[sound:4000B1_suggest_example.mp3],"<li><b><i>ngoại động từ</i></b> <ul> <li><font color=""#cc0000""><b>gợi ý, làm nảy ra trong trí</b></font> <ul> <li><b>an idea suggested itself to me</b>: một ý nảy ra trong óc tôi</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>đề nghị</b></font> <ul> <li><b>to suggest meeting</b>: đề nghị họp</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>đưa ra giả thuyết là</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>(pháp lý) đề nghị thừa nhận là</b></font> <ul> <li><b>I suggest that you were aware of what was happening</b>: tôi đề nghị ông hãy thừa nhận là ông biết chuyện xảy ra</li></ul></li></ul></li>",,4000 Essential English Words - Book 1::Unit 26
521,actually,a__t__ __ __ __y,"<span style=""color: rgb(204, 0, 0)"">thực sự, quả thật</span>",[sound:4000B1_actually.mp3],<img src='4000B1_521.jpg'>,['ækʧuəlɪ],"<div>{{c1::actually}} means in fact or really.</div>→ &nbsp;My dad looks a little mean, but {{c1::actually}} he's very kind.",[sound:4000B1_actually_meaning.mp3],[sound:4000B1_actually_example.mp3],"<div style=""MARGIN: 0px 0px 5px""><i>actually /'æktjuəli/</i><br /> <ul> <li><b><i>phó từ</i></b> <ul> <li><font color=""#cc0000""><b>thực sự, quả thật, đúng, quả là</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>hiện tại, hiện thời, hiện nay</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>ngay cả đến và hơn thế</b></font></li></ul></li></ul></div>",,4000 Essential English Words - Book 1::Unit 27
522,bite,b__ __ __,"<span style=""color: rgb(204, 0, 0)"">cắn, ngoạm</span>",[sound:4000B1_bite.mp3],<img src='4000B1_522.jpg'>,[baɪt],<div>::bite}} is the act of using your teeth to cut and tear into something.</div>→ &nbsp;The boy took a big {{c1::bite}} out of his hamburger.,[sound:4000B1_bite_meaning.mp3],[sound:4000B1_bite_example.mp3],"<div style=""MARGIN: 0px 0px 5px""><i>bite /bait/</i><br /> <ul> <li><b><i>danh từ</i></b> <ul> <li><font color=""#cc0000""><b>sự cắn, sự ngoạm; miếng cắn; vết cắn</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>sự châm, sự đốt; nốt đốt (muỗi, ong...)</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>miếng (thức ăn); thức ăn</b></font> <ul> <li><b>a bite of food</b>: một miếng ăn</li> <li><b>without bite and sup</b>: không cơm nước gì cả</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>sự đau nhức, sự nhức nhối của vết thương</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>sự cắn câu (cá...)</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>sự bám chắt, sự ăn sâu (mỏ neo, phanh, đinh ốc...)</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>vị cay tê (gừng, hạt tiêu...)</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>(nghĩa bóng) sự châm biếm, sự chua cay (lời nói)</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>cỏ cho vật nuôi</b></font> <ul></ul></li></ul></li></ul> <ul></ul> <ul> <li><b><i>(bất qui tắc) động từ bit; bitten</i></b>/bittn/, bit  <ul> <li><font color=""#cc0000""><b>cắn, ngoạm</b></font> <ul> <li><b>to bite one's nails</b>: cắn móng tay</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>châm đốt; đâm vào (gươm...)</b></font> <ul> <li><b>to be badly bitten by mosquitoes</b>: bị muỗi đốt nhiều quá</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>làm đau, làm nhột; ăn mòn; làm cay tê (thức ăn)</b></font> <ul> <li><b>the frost will bite the fruit blossom</b>: sương giá sẽ làm chột mầm quả</li> <li><b>strong acids bite metals</b>: axit mạnh ăn mòn kim loại</li> <li><b>peper and ginger bite the tongue</b>: hạt tiêu và gừng làm cay tê lưỡi</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>cắn câu ((nghĩa đen), (nghĩa bóng))</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>bám chắt, ăn sâu, bắt vào</b></font> <ul> <li><b>the screw does not bite</b>: đinh ốc không bắt vào được</li> <li><b>the anchor does not bite</b>: neo không bám chắc</li> <li><b>the brake will not bite</b>: phanh không ăn</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>(nghĩa bóng) lừa bịp</b></font></li></ul> <ul> <li><font color=""#cc0000""><b><i>to bite off</i></b></font> <ul> <li><b>cắn, cắn đứt ra</b></li></ul></li></ul> <ul> <li><font color=""#cc0000""><b><i>to be bitten with</i></b></font> <ul> <li><b>say mê, ham mê (cái gì)</b></li></ul></li></ul> <ul> <li><font color=""#cc0000""><b><i>to bite the dust (ground, sand)</i></b></font> <ul> <li><b>ngã xuống và chết</b></li></ul></li></ul> <ul> <li><font color=""#cc0000""><b><i>to bite one's lips</i></b></font> <ul> <li><b>mím môi (để nén giận...)</b></li></ul></li></ul> <ul> <li><font color=""#cc0000""><b><i>to bite off more than one can chew</i></b></font> <ul> <li><b>cố làm việc gì quá sức mình</b></li></ul></li></ul> <ul> <li><font color=""#cc0000""><b><i>once bitten twice shy</i></b></font> <ul> <li><b>(xem) once</b></li></ul></li></ul></li></ul></div>",,4000 Essential English Words - Book 1::Unit 27
523,coast,c__ __ __ __,"<span style=""color: rgb(204, 0, 0)"">bờ biển</span>",[sound:4000B1_coast.mp3],<img src='4000B1_523.jpg'>,[kəust],<div>The {{c1::coast}} is the land by an ocean.</div>→ &nbsp;I stayed on the southern {{c1::coast}} of Australia.,[sound:4000B1_coast_meaning.mp3],[sound:4000B1_coast_example.mp3],"<div style=""MARGIN: 0px 0px 5px""><i>coast /koust/</i><br /> <ul> <li><b><i>danh từ</i></b> <ul> <li><font color=""#cc0000""><b>bờ biển</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>(từ Mỹ,nghĩa Mỹ), (Ca-na-đa) đường lao (của xe trượt tuyết); sự lao xuống (của xe trượt tuyết)</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>(từ Mỹ,nghĩa Mỹ) sự lao dốc (mô tô, xe đạp)</b></font> <ul></ul></li></ul></li></ul> <ul></ul> <ul> <li><b><i>động từ</i></b> <ul> <li><font color=""#cc0000""><b>đi men bờ biển (tàu bè)</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>(từ Mỹ,nghĩa Mỹ) trượt xuống, lao xuống (xe trượt tuyết)</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>thả cho (xe đạp) xuống dốc (không đạp); tắt máy lao dốc (mô tô)</b></font></li></ul></li></ul></div>",,4000 Essential English Words - Book 1::Unit 27
524,deal,d__ __ __,"<span style=""color: rgb(204, 0, 0)"">giải quyết; đối phó; sự giao dịch</span>",[sound:4000B1_deal.mp3],<img src='4000B1_524.jpg'>,[diːl],<div>A {{c1::deal}} is an agreement that you have with another person.</div>→ &nbsp;I made a {{c1::deal}} with the other company to give us some money.,[sound:4000B1_deal_meaning.mp3],[sound:4000B1_deal_example.mp3],"<div style=""COLOR: #808080; MARGIN: 0px 0px 5px; LINE-HEIGHT: normal""><span style=""FONT-SIZE: 10.5pt;COLOR: #000000;LINE-HEIGHT: normal""><b>deal</b></span> &nbsp;</div> <div style=""MARGIN: 0px 0px 5px""><i>deal /di:l/</i><br /> <ul> <li><b><i>danh từ</i></b> <ul> <li><font color=""#cc0000""><b>gỗ tùng, gỗ thông</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>tấm ván cây</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>số lượng</b></font> <ul> <li><b>a great deal of</b>: rất nhiều</li> <li><b>a good deal of money</b>: khá nhiều tiền</li> <li><b>a good deal better</b>: tố hơn nhiều</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>sự chia bài, lượt chia bài, ván bài</b></font> <ul> <li><b>it's your deal</b>: đến lượt anh chia</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>(thực vật học) sự giao dịch, sự thoả thuận mua bán; sự thông đồng ám muội; việc làm bất lương</b></font> <ul> <li><b>to do (make) a deal with somebody</b>: giao dịch mua bán với ai</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>cách đối xử; sự đối đãi</b></font> <ul> <li><b>a square deal</b>: cách đối xử thẳng thắn</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b><i>New Deal</i></b></font> <ul> <li><b>(từ Mỹ,nghĩa Mỹ) chính sách kinh tế xã hội mới (của Ru-dơ-ven năm 1932)</b></li></ul></li></ul></li></ul> <ul> <li><b><i>ngoại động từ</i></b> <ul> <li><font color=""#cc0000""><b>((thường) + out) phân phát, phân phối</b></font> <ul> <li><b>to deal out gifts</b>: phân phát quà tặng</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>chia (bài)</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>ban cho</b></font> <ul> <li><b>to deal someone happiness</b>: ban cho ai hạnh phúc</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>giáng cho, nện cho (một cú đòn...)</b></font></li></ul> <ul> <li><font color=""#cc0000""><b><i>to deal a blow at somebody</i></b></font> <ul> <li><font color=""#cc0000""><b><i>to deal somebody a blow</i></b></font> <ul> <li><b>giáng cho ai một đòn</b></li></ul></li></ul></li></ul> <ul> <li><b><i>nội động từ</i></b> <ul> <li><font color=""#cc0000""><b>giao du với, có quan hệ với, giao thiệp với, chơi bời đi lại với</b></font> <ul> <li><b>to refuse to deal with somebody</b>: không giao thiệp với ai, không đi lại chơi bời với ai</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>(thương nghiệp) giao dịch buôn bán với</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>(+ in) buôn bán</b></font> <ul> <li><b>to deal in rice</b>: buôn gạo</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>chia bài</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>giải quyết; đối phó</b></font> <ul> <li><b>to deal with a problem</b>: giải quyết một vấn đề</li> <li><b>a difficult matter to deal with</b>: một vấn đề khó giải quyết</li> <li><b>to deal with an attack</b>: đối phó với một cuộc tấn công</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>đối xử, đối đãi, ăn ở, cư xử</b></font> <ul> <li><b>to deal generously with (by) somebody</b>: đối xử rộng rãi với ai</li> <li><b>to deal cruelly with (by) somebody</b>: đối xử tàn ác với ai</li></ul></li></ul></li></ul></li></ul></div>",,4000 Essential English Words - Book 1::Unit 27
525,desert,__ __s__ __ __,"<span style=""color: rgb(204, 0, 0)"">sa mạc</span>",[sound:4000B1_desert.mp3],<img src='4000B1_525.jpg'>,['dezət],<div>&nbsp;{{c1::desert}} is an area of land without many plants or water.</div>→ &nbsp;Not many plants grow in the {{c1::desert}}.,[sound:4000B1_desert_meaning.mp3],[sound:4000B1_desert_example.mp3],"<div style=""COLOR: #808080; MARGIN: 0px 0px 5px; LINE-HEIGHT: normal""><span style=""FONT-SIZE: 10.5pt;COLOR: #000000;LINE-HEIGHT: normal""><b>desert</b></span> &nbsp;</div> <div style=""MARGIN: 0px 0px 5px""><i>desert /di'zə:t/</i><br /> <ul> <li><b><i>danh từ</i></b> <ul> <li><font color=""#cc0000""><b>công lao, giá trị</b></font> <ul> <li><b>a reward equal to desert</b>: sự thưởng xứng đáng với công lao</li> <li><b>to treat someone according to his deserts</b>: đãi ngộ ai xứng đáng với công lao</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>sự xứng đáng, sự đáng (khen thưởng, trừng phạt...)</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>những người xứng đáng</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>(số nhiều) những cái đáng được (thưởng, phạt)</b></font> <ul> <li><b>to get (obtain, meet with) one's deserts</b>: được những cái đáng được</li></ul></li></ul></li></ul> <ul></ul> <ul> <li><b><i>danh từ</i></b> <ul> <li><font color=""#cc0000""><b>sa mạc</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>nơi hoang vắng, nơi quạnh quẽ, nơi vắng vẻ</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>(nghĩa bóng) vấn đề khô khan vô vị</b></font> <ul></ul></li></ul></li></ul> <ul></ul> <ul> <li><b><i>tính từ</i></b> <ul> <li><font color=""#cc0000""><b>hiu quạnh, quạnh quẽ, vắng vẻ, không người ở</b></font></li></ul> <ul> <li><font color=""#cc0000""><b>bỏ hoang, hoang phế</b></font> <ul></ul></li></ul></li></ul> <ul></ul> <ul> <li><b><i>ngoại động từ</i></b> <ul> <li><font color=""#cc0000""><b>rời đi, bỏ đi, bỏ trốn, trốn khỏi</b></font> <ul> <li><b>to desert one's familly</b>: bỏ nhà ra đi</li> <li><b>to desert an army</b>: đào ngũ</li></ul></li></ul> <ul> <li><font color=""#cc0000""><b>ruồng bỏ, bỏ mặc, bỏ rơi</b></font> <ul> <li><b>to desert a friend in difficulty</b>: bỏ mặc bạn trong lúc khó khăn</li> <li><b>to desert one's wife</b>: ruồng bỏ vợ</li> <li><b>his delf-control deserted him</b>: nó không còn tự chủ được nữa</li></ul></li></ul></li></ul> <ul></ul> <ul> <li><b><i>nội động từ</i></b> <ul> <li><font color=""#cc0000""><b>đào ngũ</b></font></li></ul></li></ul></div>",,4000 Essential English Words - Book 1::Unit 27
